referencia,doi_articulo_citante,score_titulo
"Zucconi, F., 1981. Evaluating toxicity of immature compost. BioCyc. 22(2), 54–57.",10.1016/j.jssas.2024.08.005,0.33
"Duensing S, Münger K. 2002. The human papillomavirus type 16 E6 and E7 oncoproteins independently induce numerical and structural chromosome instability. Cancer Res 62:7075–7082.",10.1128/mbio.00729-24,0.5
"Sansone RA, Sansone LA. Physician grief with patient death. Innov Clin Neurosci. 2012;9(4):22-6.",10.1007/s11606-024-08702-0,0.33
"Tri L. Đ., Phuong N., Toan N .T. Vietnam’s kaolin potential and orientation for exploration and exploitation to serve socio-economic. Journal of Geology. 2008;A/307:7–8. (In Vietnamese)",10.17073/2500-0632-2023-12-189,0.75
"40. Bakırhan, S, Özkeskin, M, Reyhanioğlu, D.A. and Gülpınar, D. (2017). “Analysıs of The Attıtudes and Approaches of the Physıotherapy and Rehabilitation Students Towards The Elderly”. Türk Geriatri Dergisi, 20 (2), 125-134.",10.37989/gumussagbil.1273125,0.27
"H. Chen, G. Mi, P. Li, X. Wang, X. Huang, and C. Cao, J. Mater. Eng. 47, 38 (2019).",10.1007/s11837-024-06421-9,0.0
"<bold>Hannah DC, Scibek JS, Carcia CR</bold>. Strength profiles in healthy individuals with and without scapular dyskinesis. Int J Sports Phys Ther 2017;12(3):305-13.",10.12674/ptk.2024.31.2.142,0.62
"Giddens, A. The Constitution of Society Willey, Oxford, ISBN: 0745665284, 9780745665283, 1984.",10.11648/j.ijp.20241202.13,1.0
"Charan PD, Singh M (2018) Invasive alien species of flora of the thar desert of Bikaner division, Rajasthan. J Emerg Technol Innovative Res 5(4):568–572",10.1007/s42965-024-00345-w,0.5
"[6] IMO Resolution A.895(21), Anti-fouling systems used on ships (1999).",10.4164/sptj.61.213,0.56
"23. Omoregie, H.; Emmanuel, O.O.; Grace, U.; Sabo, M.; Samuel, E.; Folashade, O.; et al. Phytochemical screening and antimicrobial studies of methanol, ethyl acetate and hexane extracts of Vitex doniana sweet (stem bark and leaf). Nat. Sci. 2010, 8, 177-85.",10.58985/jpam.2024.v02i02.22,0.67
"Oswal, S. K., & Melonçon, L. (2017). Saying no to the checklist: Shifting from an ideology of normalcy to an ideology of inclusion in online writing instruction. WPA: Writing Program Administration, 40(3), 61--77.",10.1145/3563890.3713035,0.33
"28) Nagai H, Mukozu T, Ogino Yu, et al. Sorafenib and hepatic arterial infusion chemotherapy for advanced hepatocellular carcinoma with portal vein tumor thrombus. Anticancer Res 2015; 35: 2269-2277",10.2957/kanzo.65.81,0.72
"Rahma Bachtiar, Farahdiba. 2014. “Pemilu Indonesia: Kiblat Negara Demokrasi Dari Berbagai Refresentasi.” Jurnal Politik Profetik 3(1).",10.24815/jsu.v18i1.39337,0.33
"X.W. Zheng, D.Z. Xia, Y. Zhang, Inhibitory effect on xanthine oxidase and antioxidant activity of total flavonoids from Prunus mume flowers, Science and Technology of Food Industy 32 (11) (2011) 168-170+173.",10.1016/j.microc.2024.110475,0.5
"Yılmaz, N., Gencer, C., Integration of sensor vision capabilities on UAV flight route optimization: a linear model and a heuristic algorithm proposal, Journal of the Faculty of Engineering and Architecture of Gazi University, 34, 2019.",10.17341/gazimmfd.1156817,0.18
"Cruz, G. M. 2011. “La integración andina: Origen, transformaciones y estructuras.” Revista Integración y Comercio 15 (33): 35–46.",10.1080/08263663.2024.2344316,0.5
"Lukasiewicz, J. Tarski, Untersuchungen iiber Aussagenkalkiil C. R Societe de Sctences et Varsovie, cl. iii 23, 1930.",10.11648/j.ijp.20241202.13,0.5
"Gao Q, Wu Y, Jia S, Huang S and Lu X. 2016. Effect of rootstock on the growth, photosynthetic capacity and osmotic adjustment of eggplant seedlings under chilling stress and recovery. Pakistan Journal of Botany 48(2): 461–67.",10.56093/ijas.v94i10.151449,0.62
"Nasrine B.; Fouad B.; Abdelmoumen A.B.; A refined quasi-3D theory for stability and dynamic investigation of cross-ply laminated composite plates on Winkler-Pasternak foundation. Struct Eng Mech 2023,85,433-443",10.2174/0126661454308143240529060134,0.5
"Doyle JJ, Doyle JL. 1987. A rapid DNA isolation procedure for small amounts of fresh leaf tissue. Phytochem Bull. 19(1):11–15.",10.1080/23802359.2024.2437099,0.57
"Drapkina Oksana Mikhailovna, Gegenava Badri Borisovich, Morgunova Tatyana Borisovna, Fadeev Valentin Viktorovich Study of hypothyroidism on the cardiovascular system // Endocrinology: News. Opinions. Education. 2016.№2(15).",10.21886/2712-8156-2024-5-2-48-57,0.2
"E. Di Valentino, A. Melchiorri, O. Mena, S. Vagnozzi, Interacting dark energy in the early 2020s: a promising solution to the $$H_0$$ and cosmic shear tensions. Phys. Dark Universe 30, 100666 (2020). arXiv:1908.04281 [astro-ph.CO]",10.1140/epjc/s10052-024-12613-z,0.36
"Akbulut, G. (2011). Türkiye’de yer değiştiren yerleşmelere bir örnek: Arguvan ilçe merkezi (Malatya), Marmara Coğrafya Dergisi, 24, 471-492.",10.53472/jenas.1412321,0.25
"Sun S, Wang N, Sun Z, Wang X, Cui H. MiR-5692a promotes proliferation and inhibits apoptosis by targeting HOXD8 in hepatocellular carcinoma. J BUON. 2019;24(1):178–86.",10.1186/s12885-024-11881-y,0.71
"Roshini, S., & Zinna, A. (2019). Locus of control, self-efficacy and grit among athletes and non-athletes. International Journal of Research and Analytical Reviews, 6(1), 818-823.",10.55860/fyhdb993,0.56
"Dukiet-Nagórska Teresa, „Świadoma zgoda pacjenta w ustawodawstwie polskim” Prawo i Medycyna, nr 6/7 (2000): 78-95.",10.36128/priw.vi49.451,0.6
"S. Mongkolrat, C. Palanuvej, and N. Ruangrungsi, J. Health Res., 27, 67 (2013).",10.1007/s10600-024-04467-4,0.0
"Salman, A., & Munir, N. (2012). Choice between debt and equity and its impact on business performance. International Journal of Organizational Innovation, 5(1), 284–295.",10.1080/23322039.2024.2322889,0.6
"36. Çunkuş, N, Yiğitoğlu, G.T. ve Akbaş, E. (2019). “Yaşlılık ve Toplumsal Dışlanma”. Geriatrik Bilimler Dergisi, 2 (2), 58-67.",10.37989/gumussagbil.1273125,0.33
"Zakki, M., Christiananta, B., & Koesmono, H. T. (2016). Influence of Strategic, Spiritual and Entrepreneurial Leadership of the Kiai to the Santri’s Work Satisfaction and to the Jihad (Performance) of Santripreneur at the Entrepreneurial Pesantren in East Java Province. Academic Research International, 7(5).",10.47134/ijsl.v5i1.309,0.43
"Gülaydın Ö, Gürtürk K. İdentification of Pasteurella multocida strains isolated from respiratory tract of healthy and diseased cattle and determination of capsular types by PCR in Van Region. Van Vet J. 2018; 29 (3): 143-6.",10.46810/tdfd.1402193,0.67
"Shukla, R., Iliev, I. and Goyal, A. (2014) Leuconostoc mesenteroides NRRL B-1149 as probiotic and its dextran with anticancer properties. J. Bio. Sci. Biotechnol., 3(1): 79–87.",10.14202/vetworld.2024.829-841,0.62
"He C, Zhang Z, Wang Z, Shi K (2020) Water retention characteristics of Sphagnum and their relationship with soil nutrient content in the peatland of Maruo, Upland Guizhou. Plant Sci J 38:618–626",10.1007/s00248-024-02355-6,0.4
"Bozok, N. (2011). Biyoiktidara Özgü Bir Özne(l)leşme Pratiği Olarak Popüler Sağlıklı Yaşam Söylemi, Toplum ve Bilim, Birikim Yayınları, 122, 37-52.",10.30561/sinopusd.1469956,0.38
"Gorton D, Carter J, Cvjetan B, Ni MC. Healthier vending machines in workplaces: both possible and effective. N Z Med J. 2010;123(1311):43–52.",10.1186/s12916-024-03663-x,0.5
"CARRIZO, E. DEL V., M. O. PALACIO, & L. D. ROIC (ex aequo). 2005. Uso medicinal de algunas especies nativas en Santiago del Estero (República Argentina). Dominguezia 21: 25-32.",10.31055/1851.2372.v59.n1.40763,0.36
"1. Ibe, I. J., Ogbulie, J. N., Orji, J. C., Nwanze, P. I., Ihejirika, C., and Okechi, R. N., ""Effects of Palm Oil Mill effluent (Pome) on soil bacteria and enzymes at different seasons."" International Journal of Current Microbiology and Applied Sciences, 3.10 (2014): 928-934.",10.12944/cwe.19.1.30,0.57
"Asadi-Shekaari M, Kalantaripour TP, Nejad FA, et al (2012) The anticonvulsant and neuroprotective effects of walnuts on the neurons of rat brain cortex. Avicenna J Med Biotechnol 4:155",10.55544/jrasb.3.2.43,0.33
"Abioye AA, Ojediran TK, Emiola IA. Fermented African yam bean (Sphenostylis stenocarpa) and pigeon pea (Cajanus cajan) seed meals: Effect of residual anti-nutrients on the blood profile, organ weight and carcass characteristics of broiler chickens. IOSR J. Agric. Vet. Sci. (IOSR-JAVS), 2007; 10(12), 1-7.",10.26538/tjpps/v3i6.6,0.47
"Luciano, L. & Reale, E. A new cell type (‘brush cell’) in the gall bladder epithelium of the mouse. J. Submicrosc. Cytol. 1, 43–52 (1969).",10.1038/s41598-024-69287-6,0.5
"Zaghloul KH, Omar WA. Abo-Hegab S. Environmental hazard risk assessment on Oreochromis niloticus and Tilapia zillii fish. J. Egypt. Ger. Soc. Zool., 2005; 46:105-139.",10.26538/tjpps/v3i6.6,0.45
"Shrivastava, S. L., and S. Bal. 1989. Effectiveness of a rice polisher. Standards India 3:156–59.",10.1080/00103624.2024.2440071,0.12
"Lazo PA, DiPaolo JA, Popescu NC. 1989. Amplification of the integrated viral transforming genes of human papillomavirus 18 and its 5'-flanking cellular sequence located near the myc protooncogene in HeLa cells. Cancer Res 49:4305–4310.",10.1128/mbio.00729-24,0.38
"9.Ambika Dutta Shastri, Sushruta Samhita with Elaborat-ed Ayurveda Tatva Sandipika Hindi Commentary, Reprint. Varanasi: Choukhambha Sanskrit Sansthan, Sharir Sthan 5/24, 2011",10.46607/iamj0312112024,0.4
"E. Di Valentino et al., Cosmology intertwined III: $$f\sigma _8$$ and $$S_8$$. Astropart. Phys. 131, 102604 (2021). arXiv:2008.11285 [astro-ph.CO]",10.1140/epjc/s10052-024-12613-z,0.17
"Yılmaz, A. (2019). Investigation with mixed research approach of career stresses of teacher candidates. The Journal of Turkish Sport Science, 2 (1), 93-105.",10.69918/ejte.1558103,0.56
"Dongmo PMJ, Tchoumbougnang F, Boyom FF, Sonwa ET, Zollo PHA, Menut C. Antiradical, antioxidant activities and anti-inflammatory potential of the essential oils of the varieties of Citrus limon and Citrus aurantifolia growing in Cameroon. J Asian Sci Res. 2013;3(10):1046–57.",10.1186/s13065-024-01162-x,0.5
"Wang, Y.F., and P. Ni. 2016. Economic growth spillover and spatial optimization of high-speed ralway. China Industril Economics 2: 21–36.",10.1007/s44176-024-00028-9,0.64
"Şentürk B. Türkiye’de salgın hayvan hastalık sorunu ve yeni model önerileri. Harran Üniv Vet Fak Derg. 2015; 4 (1), 27-9.",10.46810/tdfd.1402193,0.17
"H. C. Da Silva, A. L. A. B. Leal, M. M. De Oliveira, H. M. Barreto, H. D. M. Coutinho, H. S. Dos Santos, G. M. P. Santiago, T. S. De Freitas, I. K. C. Lima, A. M. R. Teixeira, and C. E. S. Nogueira, S. Afr. J. Bot., 132, 140 (2020).",10.1007/s10600-024-04467-4,0.0
"12. Kumar, D.A.; Dharmendra, S.; Jhansee, M.; Shrikant, N. Development and characterization of chitosan nanoparticles. Int. Res. J. Pharm. 2011, 2, 145-51.",10.58985/jpam.2024.v02i02.22,0.57
"Korotich V. I., Frolov Yu. A., Kaplun L. I. Teoreticheskie osnovy tekhnologii okuskovaniya metallurgicheskogo syr'ya. Aglomeratsiya [Theoretical foundations of the technology of agglomeration of metallurgical raw materials. Agglomeration]. Ekaterinburg: GOU VPO “UGTU–UPI”, 2009, 416 p. (In Russ.).",10.32339/0135-5910-2024-6-5-16,0.29
"Hong, S.-Y., and J.-O. J. Lim, 2006: The WRF Single-Moment 6-class microphysics scheme (WSM6). J. Korean Meteor. Soc., 42, 129–151.",10.1175/jpo-d-24-0010.1,0.6
"Molau, U. (1988). Scrophulariaceae-part I. Calceolarieae. Flora Neotropica, 47, 1–326.",10.1007/s11692-024-09639-2,0.67
"Eyice, Semavi. (1989). Andre Chenier’in Doğduğu Ev Hakkında. Tarih ve Toplum, 12(77), s. 52–56.",10.61742/sanatyazilari.1378397,0.4
"d’Auzac J, Prévôt J C, Jacob J L. What’s new about lutoids? A vacuolar system model from Hevea latex. Plant Physiol Biochem, 1995, 33: 765–777.",10.1360/ssv-2024-0165,0.5
"7.Ambika Dutta Shastri, Sushruta Samhita with Elaborat-ed Ayurveda Tatva Sandipika Hindi Commentary, Reprint. Varanasi: Choukhambha Sanskrit Sansthan, Sharir Sthan 5/20, 2011",10.46607/iamj0312112024,0.4
"Chuluun B, Mariana A, Ho T, Mohd Kulaimi B (2005) Research Note A preliminary survey of ectoparasites of small mammals in Kuala Selangor Nature Park. Trop Biomed 22:243–247",10.1186/s43088-024-00481-1,0.56
"Fisher CW, Berliner DC, Filby NN, et al. (1981, Winter) Teaching behaviors, academic learning time, and student achievement: An overview. The Journal of Classroom Interaction 17(1): 2–15.",10.1177/14639491241266331,0.56
"Ghosh, M., Fraser, D. A. S., and Reid, N. (2010). Ancillarity statistics: A review. Statistica Sinica, 20, 1309–1322.",10.1007/s13171-024-00359-5,0.12
"Y. Liu, Z. Chen, T. Jin, and L. Chai, Mater. Rep. 32, 1863 (2018).",10.1007/s11837-024-06421-9,0.0
"Frege, G. Begriffsschrift ‎ (Amazon, Lubrecht & Cramer ltd, New York, ed. 2, ASIN: ‎ 3487006235, 1995.",10.11648/j.ijp.20241202.13,0.25
"L. Heisenberg, H. Villarrubia-Rojo, J. Zosso, Can late-time extensions solve the H0 and $${\sigma }8$$ tensions? Phys. Rev. D 106, 043503 (2022). arXiv:2202.01202 [astro-ph.CO]",10.1140/epjc/s10052-024-12613-z,0.15
"Liu Q..(2018) Indicator control in TOD planning and management of rail station areas.Planners,34(1):48–58",10.1051/e3sconf/202451201001,0.4
"11. Yıldız, R, Ömeroğlu, G. ve Terim, N. (2017). “Yaşlı Penceresinden Yaşlı Ayrımcılığı”. Ahi Evran Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 3 (2), 313-329.",10.37989/gumussagbil.1273125,0.33
"Mironov, O. G., O. P. Poltarukha, and Yu. L. Kovalchuk, 2010: Seasonal dynamics of virus-like particles and nucleic acids in water and bottom sediments of the Sevastopol Bay of the Black Sea. Water: Chemistry and Ecology, 2, 27–30.",10.29006/1564-2291.jor-2024.52(1).7,0.57
Tweedle MF. Gadopentetate dimeglumine: an overview of a new magnetic resonance imaging contrast agent. Invest Radio. 1992;27(1):S2-6.,10.33590/emj/zrvn2069,0.83
"Tanda, A. (2015). The role of regulatory pressure in banks’ capital and risk decisions. International Journal of Euro-Mediterranean Studies, 8(1), 5–23.",10.1080/23322039.2024.2322889,0.56
"Karataş, L., Alptekin, A., & Yakar, M. (2022). Creating Architectural Surveys of Traditional Buildings with the Help of Terrestrial Laser Scanning Method (TLS) and Orthophotos: Historical Diyarbakır Sur Mansion. Advanced LiDAR, 2(2), 54–63.",10.21834/e-bpj.v9i30.6235,0.67
"Safty, A. 2003. Moral leadership: Beyond management and governance. Harvard International Review 25: 84–89.",10.1007/s11673-024-10337-z,0.29
"3. Kubat Bakır, G. ve Akın, S. (2019). “Yaşlılıkta Kronik Hastalıkların Yönetimi İle İlişkili Faktörler”. Sağlık ve Toplum, 19 (2), 17-25.",10.37989/gumussagbil.1273125,0.8
"[19] M. Tasdemir and U. Yerleşen, “Study on the friciton and wear behaviors of modified hdpe/glass spheres composites,” Romanian Journal of Materials, vol. 45, no. 1, pp. 59-66, 2015.",10.29130/dubited.1184670,0.43
"5. Yu. Tkachuk, and O. Student, ""Assessment of blade 20X13 steel degradation after operation in a steam turbine by crack resistance,"" Mashynoznavstvo [in Ukrainian], Is. 1-2, 37-43 (2011).",10.15407/pcmm2024.05.108,0.62
"Zhang D, Yu X, Zhang S, Duan M (2021) Effect of circular RNA has_circ_0070421 on replication of influenza A virus. Chin J Vet Sci 41(5):944–949",10.1007/s00430-023-00784-7,0.33
"Yoon I. B., Kim. J. I., Yang. S. Y., 1998, Study on the food habits of Rana nigromaculata Hallowell and Rana plancyi chosenica Okada (Salientia; Ranidae) in Korea, Korean Journal of Environmental Biology, 16(2), 69-76.",10.5322/jesi.2024.33.11.863,0.46
"Yuan B, Chen K, Bowler J M, Ye S (1990). The formation and evolution of the Qinghai lake. Quaterern Sci, 3: 233–243",10.1007/s11707-022-1054-6,0.4
"Wang H, Wu L, Xue D, Liu X, Hong L, Mou L, Li X (2020) Distribution and environmental characteristics of Sphagnum peat bogs in Taishanmiao in Enshi City, Hubei Province. Wetland Sci 18:266–274",10.1007/s00248-024-02355-6,0.44
"Xu, K.N., F. Chen, and X. Liu. 2015. The authenticity of China’s economic growth: an examination based on global night light data. Economic Research Journal 50 (09): 17–2957.",10.1007/s44176-024-00028-9,0.5
"Xie Q, Dai Z, Hovy EH, et al. Unsupervised data augmentation for consistency training. NIPS. 2019;20:6256-6268.",10.1177/21925682241282581,0.5
"A. N. Belkacem, H. Hirose, N. Yoshimura, D. Shin, and Y. Koike, ""Classification of four eye directions from EEG signals for eye-movement-based communication systems,"" life, vol. 1, p. 3, 2014.",10.58496/adsa/2024/008,0.5
"AOSA, 1990. Rules for testing seeds. J. Seed Technol., 12, 1–112.",10.1016/j.jssas.2024.08.005,0.4
"Bayraktar, O., Özdemir, F., Çetin, Ö., Yılmaz, G., İnsansız Hava Araçları İçin Otonom İniş Sistemi Simülatörü Tasarımı, Bilişim Teknolojileri Dergisi, 5(2), 1-8, 2012.",10.17341/gazimmfd.1156817,0.5
"Zhang C M, Zhu R, Yin T J and Yin Y S (2015). Advances in fan deltaic sedimentology. Xinjiang Petrol Geol, 36(3): 110–116",10.1007/s11707-022-1054-6,0.18
"Ibne Sina, A. Al- Mantegh Alshefa, ebrahim bioohi, maktab al marashi, Ghom, Iran, ed. 1, p. 327, 1985.",10.11648/j.ijp.20241202.13,0.17
"14. Müftüler, H. G. (2018). “Modern Toplumda Yaş ve Yaşlı Ayrımcılığı”. Türkiye Sosyal Hizmet Araştırmaları Dergisi, 2 (2), 181-214.",10.37989/gumussagbil.1273125,0.29
K. Bastmeijer De Juridische Status van de Europese Steur (Acipenser sturio) en de Positie van Nederland (The Legal Status of the European Sturgeon (Acipenser sturio) and the Position of the Netherlands (with English summary)): Een onderzoek in opdracht van ARK Natuurontwikkeling en het Wereldnatuurfonds Nederland. 83 (2019).,10.1016/j.marpol.2024.106056,1.0
"SJ Lee. Fabrication of low thermal expansion and low dielectric ceramic substrates by control of microstructure. 2003, 4: 118-121.",10.26599/jac.2024.9220872,0.5
"Huang, H., Xu, Y.-P., Deng, Z.-W., Real-time visual flight simulation system based on flightgear simulator, Journal of System simulation, 19(19), 780-785, 2007.",10.17341/gazimmfd.1156817,0.86
"Certel Z & Kozak M. (2017) The Examination of Relationships between Academic Self-Efficacy, Academic Procrastination, and Locus of Academic Control of Athletes in Different Sports. Sport J., 19, 1 - 10.",10.55860/fyhdb993,0.88
"Agrawal R, Mehta SC (2007) Weather based forecasting of crop yields, pests and diseases-IASRI models. J Ind Soc Agril Statist 61(2):255–263",10.1007/s00484-024-02829-9,0.71
"Öztürk D, Çorlu M. Pnömonili Koyun akciğerlerinden izole edilen bakteriler ve antibiyotik duyarlılıkları. Vet. Bil. Derg. 2006; 22 (1-2): 59-63",10.46810/tdfd.1402193,0.75
"Quine, W. V. O. 1998. “Reply to White,” The Philosophy of W. V. Quine, 2nd ed., (LaSalle, Illinois: Open Court Publishing, 663–665, 1988).",10.1163/18758185-bja10087,0.42
"Shenhav, Y. 2005. “On Hybridization and Purification: Orientalism as a Broad Margined Discourse.” Theory and Criticism 26: 5–11. (in Hebrew)",10.1080/1472586x.2024.2352305,0.67
"Rani, R. S., & Raju, A. J. S. (2020). Reproductive ecology of nutritionally important perennial climber Canavalia gladiata (Fabaceae: Faboideae). Phytologia Balcanica, 26(1), 43–55.",10.1007/s11692-024-09639-2,0.5
"Quinn, Michael, ‘Jeremy Bentham on Physical Disability: A Problem for Whom?,' Review of Disability Studies (8.4 (2014)",10.4000/129mo,0.8
"de Oteiza, M.B.M., Kalla, S., Conde, S.: Un estudio sobre la función Lommel-Maitland. Rev. Téc. Fac. Ing., Univ. Zulia 9(2), 33–40 (1986)",10.1186/s13660-024-03108-2,0.0
"G Herzberg Infrared and Raman Spectra of Polyatomic MolecNEes, (New York: Van Nostrand-Reinhold) p 632 (1945)",10.1007/s12648-024-03221-4,0.73
"Sale JEM, Gignac M, Hawker G. The relationship between disease symptoms, life events, coping and treatment, and depression among older adults with osteoarthritis. J Rheumatol. 2008;35(2):335–42.",10.1007/s12672-024-01642-5,0.5
"Pudwell, L., Smith, R.: Two-stack-sorting with pop stacks. Australas. J. Combin. 74, 179–195 (2019)",10.1007/s00493-024-00083-6,0.67
"Prasetya, W., & Yulius, C. (2018). Pengaruh kualitas produk dan citra merek terhadap kepuasan konsumen dan minat beli ulang: Studi pada Produk Eatlah. Jurnal Teknologi, 11(2), 92–100.",10.53088/jmdb.v4i2.1018,0.91
"Skreczko, Adam. 2007. „Ewangelizacja w rodzinie i przez rodzinę”. Roczniki Teologiczno-Kanoniczne, 6: 119-128.",10.14746/tim.2024.36.2.22,0.17
"S. Rajesh and V.J. Badheka, Proc. Inst. Mech. Eng. Part L J. Mater. Des. Appl. 233, 1053 (2017).",10.1007/s11837-024-06421-9,0.0
"L. Bar, N. Sochen, Unsupervised Deep Learning Algorithm for PDE-based Forward and Inverse Problems, ArXiv abs/1904.05417 (2019).",10.1016/j.pacs.2024.100601,0.5
"Jan, A., Bhat, K., Bhat, S., Mir, M., Bhat, M., Imtiyaz, A., & Rather, J. (2013). Surface sterilization method for reducing microbial contamination of field-grown strawberry explants intended for in vitro culture. AFRICAN JOURNAL OF BIOTECHNOLOGY, 12(39), 5749–5753.",10.29121/shodhkosh.v5.i6.2024.1841,0.75
"Wani, S. A., S. Qayoom, M. A. Bhat, A. A. Sheikh, T. A. Bhat, and S. Hussain. 2017. Effect of varying sowing dates and nitrogen levels on growth and physiology of scented rice. Oryza 54:97–106.",10.1080/00103624.2024.2440071,0.5
"Arrell, R. (2020). No love drugs today. Philosophy and Public Issues, 10(3), 45–60.",10.1007/s44204-024-00222-2,0.5
"Ali MY, Abdur RK, Shakoori AR. Haematological and biochemical responses of blood of an endangered South Asian fresh water fish Tor putitora against aquatic pollution. Pak. J. Zool., 2008; 40(2):123-134",10.26538/tjpps/v3i6.6,0.45
"Spreeuwenberg, L., & Schaubroeck, K. (2020). The non-individualistic and social dimensions of love drugs. Philosophy and Public Issues, 10(3), 67–92.",10.1007/s44204-024-00222-2,0.5
"Deüelle Lüski, A. 2001. “Rhizomatic Thinking.” Resling 8: 11–26. (in Hebrew)",10.1080/1472586x.2024.2352305,0.33
Runge VM et al. Gadolinium: potential radiographic contrast agent. American Journal of Roentgenology. 2015;145(1):74-8.,10.33590/emj/zrvn2069,0.8
"Song C H, Fang X M, Shi Y M, Wang X M (2000). Characteristics and genesis of eolian dunes on the west bank of Qinghai Lake. China Desert, 20(4): 443–446",10.1007/s11707-022-1054-6,0.38
"QUEIROZ, Fernanda Marques; DINIZ, Maria Ilidiana. A mundialização neoliberal e os desafios à implementação de políticas públicas para as mulheres em situação de violência. Revista Transgressões, v. 2, n. 1, p. 207-219, 9 fev. 2015.",10.54033/cadpedv21n4-123,0.75
"He, L.Y., and D. Tao. 2020. Measurement of the lmpact of high-speed rail opening on knowledge spillover and urban innovation level. Journal of Quantitative & Technological Economics 37 (02): 125–142.",10.1007/s44176-024-00028-9,0.83
"Trayes KP, Cokenakes SEH. Breast cancer treatment. Am Fam Phys. 2021;104(2):171–8.",10.1007/s12672-024-01642-5,0.4
"Bondarenko A. V., Gerasimenko A. A. (2005). About one algorithm for fuzzy search of named components in specialized databases. Vestnik komp'yuternyh i informatsionnyh tekhnologiy, 12(8), 29 – 34. [in Russian language]",10.14489/vkit.2024.06.pp.003-013,0.33
"Uz Baş, A., & Kabasakal, Z. (2013). Despair across teacher candidates and percieved social support. Journal of Research in Education and Teaching, 2 (1), 19–26.",10.69918/ejte.1558103,0.43
"T. D. Thang, D. N. Dai, T. M. Hoi, and I. A. Ogunwande, Nat. Prod. Comm., 8, 239 (2013).",10.1007/s10600-024-04467-4,0.0
"Yu, G.H. 2022. High-speed railway, technological innovation and spatial equilibrium of economy: interpretation of a three sector new economic geography model. Inquiry Into Economic Issues 09: 99–116.",10.1007/s44176-024-00028-9,0.57
"Fairooz M, Khir A, Badri B, Hussain L, and Badri MB (2013). Critical appraisal of Rahn-based Islamic microcredit facility from Shari'ah perspective. Advances in Natural and Applied Sciences, 7(3): 221-231.",10.21833/ijaas.2024.06.006,0.8
"Sun, W.Z., D. Niu, and G. Wan. 2022. Transportation infrastructure and lndustrial structure upgrading: evidence from China’s high-speed railway. Journal of Management World 38 (03): 19–34+58+35-41.",10.1007/s44176-024-00028-9,0.89
"Siami-Namini, Sima (2017) Granger causality between exchange rate and stock price: a Toda Yamamoto approach, 7 (4), 603-607.",10.1016/j.najef.2023.102068,0.58
"Kıvanç, Ö.C., Mungan, T.E., Atila, B., Tosun, G., An integrated approach to development of unmanned ground vehicle: design, analysis, implementation and suggestions, Journal of the Faculty of Engineering and Architecture of Gazi University, 34(4), 1957-1973, 2019.",10.17341/gazimmfd.1156817,0.55
"Casey C, Slawson DC, Neal LR (2010) Vitamin D supplementation in infants, children, and adolescents. Am Fam Physician 81:745–748",10.55544/jrasb.3.2.43,0.5
"Singh KP, Shukla AN, Singh JS (2010) State-level inventory of invasive alien plants, their source regions and use potential. Curr Sci 99(1):107–114",10.1007/s42965-024-00345-w,0.5
"Tharmaratnam T, Premachandra J. Investigation on the use of coconut shell powder replacing carbon black as filler in natural rubber. Tech Session-Sci Technol. 2015:44.",10.1080/19475411.2024.2408013,0.75
"Wu Y, Zhang T, Zhang Z, Cui H (2010). Types and characteristics of depositional systems tract and its petroleum geological significance. Journal of Palaeogeography, 12(1): 69–81",10.1007/s11707-022-1054-6,0.83
"Hardacre, B., Hafner, A., & Nakama, P. (2021). The Impact of Test Anxiety on Teacher Credential Candidates. Teacher Education Quarterly, 48 (3), 7–28.",10.69918/ejte.1558103,0.5
"Bahadur A, Rai N, Kumar R, Tiwari S K, Singh A K, Rai A K, Singh U, Patel P K, Tiwari V, Rai A B, Singh M and Singh B. 2015. Grafting tomato on eggplant as a potential tool to improve waterlogging tolerance in hybrid tomato. Vegetable Science 42(2): 82–87.",10.56093/ijas.v94i10.151449,0.25
"Baudouin de Courtenay, J. (1903). O psychicznych podstawach zjawisk językowych. Przegląd Filozoficzny 6, z. 2, 153–171.",10.28925/2412-2491.2024.224,0.5
"Schmidt E., Schmidt F. W. (1963). Determine of serum glutamic oxaloacetic and glutamic pyruvic transaminase. Biol. Clin. 1963; 3: 1.",10.26538/tjpps/v3i6.6,0.53
"Roshan, K. (2020). Priya damwani, Shivam kumar, Adarsh suman, Suthar Usha. An overview on health benefits and risk factor associated with coffee. International Journal Research and Analytical Review, 7(2), 237-249.",10.55544/jrasb.3.2.43,0.75
"Fatima B.; Mohamed S.; Mahmoud M.S.S.; Effect of visco-Pasternak foundation on thermo-mechanical bending response of anisotropic thick laminated composite plates. Steel Compos Struct 2023,47,693-707",10.2174/0126661454308143240529060134,0.57
"Zhang, H.M., and T. Sun. 2022. How does high-speed railway (HSR) impact the industrial distribution and structural change between HSR cities and surrounding cities? A mechanism analysis based on spatial econometric models. Industrial Economics Research 06: 1–13.",10.1007/s44176-024-00028-9,0.6
"Cebeci, A. R., Gül?ahi, A., Kamburoglu, K., Orhan, B.K., & Ozta?, B. (2009). Prevalence and distribution of oral mucosal lesions in an adult Turkish population. Medicina Oral, Patologia Oral Y Cirugia Bucal, 14(6), E272–E277.",10.31436/ijohs.v5i1.242,0.71
