referencia,doi_articulo_citante,anio_citado
"Bozok, N. (2011). Biyoiktidara Özgü Bir Özne(l)leşme Pratiği Olarak Popüler Sağlıklı Yaşam Söylemi, Toplum ve Bilim, Birikim Yayınları, 122, 37-52.",10.30561/sinopusd.1469956,2011
"Gorton D, Carter J, Cvjetan B, Ni MC. Healthier vending machines in workplaces: both possible and effective. N Z Med J. 2010;123(1311):43–52.",10.1186/s12916-024-03663-x,2010
"CARRIZO, E. DEL V., M. O. PALACIO, & L. D. ROIC (ex aequo). 2005. Uso medicinal de algunas especies nativas en Santiago del Estero (República Argentina). Dominguezia 21: 25-32.",10.31055/1851.2372.v59.n1.40763,2005
"Asadi-Shekaari M, Kalantaripour TP, Nejad FA, et al (2012) The anticonvulsant and neuroprotective effects of walnuts on the neurons of rat brain cortex. Avicenna J Med Biotechnol 4:155",10.55544/jrasb.3.2.43,2012
"Abioye AA, Ojediran TK, Emiola IA. Fermented African yam bean (Sphenostylis stenocarpa) and pigeon pea (Cajanus cajan) seed meals: Effect of residual anti-nutrients on the blood profile, organ weight and carcass characteristics of broiler chickens. IOSR J. Agric. Vet. Sci. (IOSR-JAVS), 2007; 10(12), 1-7.",10.26538/tjpps/v3i6.6,2007
"Luciano, L. & Reale, E. A new cell type (‘brush cell’) in the gall bladder epithelium of the mouse. J. Submicrosc. Cytol. 1, 43–52 (1969).",10.1038/s41598-024-69287-6,1969
"Zaghloul KH, Omar WA. Abo-Hegab S. Environmental hazard risk assessment on Oreochromis niloticus and Tilapia zillii fish. J. Egypt. Ger. Soc. Zool., 2005; 46:105-139.",10.26538/tjpps/v3i6.6,2005
"Shrivastava, S. L., and S. Bal. 1989. Effectiveness of a rice polisher. Standards India 3:156–59.",10.1080/00103624.2024.2440071,1989
"9.Ambika Dutta Shastri, Sushruta Samhita with Elaborat-ed Ayurveda Tatva Sandipika Hindi Commentary, Reprint. Varanasi: Choukhambha Sanskrit Sansthan, Sharir Sthan 5/24, 2011",10.46607/iamj0312112024,2011
"E. Di Valentino et al., Cosmology intertwined III: $$f\sigma _8$$ and $$S_8$$. Astropart. Phys. 131, 102604 (2021). arXiv:2008.11285 [astro-ph.CO]",10.1140/epjc/s10052-024-12613-z,2021
"Yılmaz, A. (2019). Investigation with mixed research approach of career stresses of teacher candidates. The Journal of Turkish Sport Science, 2 (1), 93-105.",10.69918/ejte.1558103,2019
"Dongmo PMJ, Tchoumbougnang F, Boyom FF, Sonwa ET, Zollo PHA, Menut C. Antiradical, antioxidant activities and anti-inflammatory potential of the essential oils of the varieties of Citrus limon and Citrus aurantifolia growing in Cameroon. J Asian Sci Res. 2013;3(10):1046–57.",10.1186/s13065-024-01162-x,2013
"Wang, Y.F., and P. Ni. 2016. Economic growth spillover and spatial optimization of high-speed ralway. China Industril Economics 2: 21–36.",10.1007/s44176-024-00028-9,2016
"H. C. Da Silva, A. L. A. B. Leal, M. M. De Oliveira, H. M. Barreto, H. D. M. Coutinho, H. S. Dos Santos, G. M. P. Santiago, T. S. De Freitas, I. K. C. Lima, A. M. R. Teixeira, and C. E. S. Nogueira, S. Afr. J. Bot., 132, 140 (2020).",10.1007/s10600-024-04467-4,2020
"12. Kumar, D.A.; Dharmendra, S.; Jhansee, M.; Shrikant, N. Development and characterization of chitosan nanoparticles. Int. Res. J. Pharm. 2011, 2, 145-51.",10.58985/jpam.2024.v02i02.22,2011
"Korotich V. I., Frolov Yu. A., Kaplun L. I. Teoreticheskie osnovy tekhnologii okuskovaniya metallurgicheskogo syr'ya. Aglomeratsiya [Theoretical foundations of the technology of agglomeration of metallurgical raw materials. Agglomeration]. Ekaterinburg: GOU VPO “UGTU–UPI”, 2009, 416 p. (In Russ.).",10.32339/0135-5910-2024-6-5-16,2009
"Molau, U. (1988). Scrophulariaceae-part I. Calceolarieae. Flora Neotropica, 47, 1–326.",10.1007/s11692-024-09639-2,1988
"Eyice, Semavi. (1989). Andre Chenier’in Doğduğu Ev Hakkında. Tarih ve Toplum, 12(77), s. 52–56.",10.61742/sanatyazilari.1378397,1989
"7.Ambika Dutta Shastri, Sushruta Samhita with Elaborat-ed Ayurveda Tatva Sandipika Hindi Commentary, Reprint. Varanasi: Choukhambha Sanskrit Sansthan, Sharir Sthan 5/20, 2011",10.46607/iamj0312112024,2011
"Chuluun B, Mariana A, Ho T, Mohd Kulaimi B (2005) Research Note A preliminary survey of ectoparasites of small mammals in Kuala Selangor Nature Park. Trop Biomed 22:243–247",10.1186/s43088-024-00481-1,2005
"Fisher CW, Berliner DC, Filby NN, et al. (1981, Winter) Teaching behaviors, academic learning time, and student achievement: An overview. The Journal of Classroom Interaction 17(1): 2–15.",10.1177/14639491241266331,1981
"Ghosh, M., Fraser, D. A. S., and Reid, N. (2010). Ancillarity statistics: A review. Statistica Sinica, 20, 1309–1322.",10.1007/s13171-024-00359-5,2010
"Y. Liu, Z. Chen, T. Jin, and L. Chai, Mater. Rep. 32, 1863 (2018).",10.1007/s11837-024-06421-9,2018
"Frege, G. Begriffsschrift ‎ (Amazon, Lubrecht & Cramer ltd, New York, ed. 2, ASIN: ‎ 3487006235, 1995.",10.11648/j.ijp.20241202.13,1995
"L. Heisenberg, H. Villarrubia-Rojo, J. Zosso, Can late-time extensions solve the H0 and $${\sigma }8$$ tensions? Phys. Rev. D 106, 043503 (2022). arXiv:2202.01202 [astro-ph.CO]",10.1140/epjc/s10052-024-12613-z,2022
"Liu Q..(2018) Indicator control in TOD planning and management of rail station areas.Planners,34(1):48–58",10.1051/e3sconf/202451201001,2018
"11. Yıldız, R, Ömeroğlu, G. ve Terim, N. (2017). “Yaşlı Penceresinden Yaşlı Ayrımcılığı”. Ahi Evran Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 3 (2), 313-329.",10.37989/gumussagbil.1273125,2017
"Mironov, O. G., O. P. Poltarukha, and Yu. L. Kovalchuk, 2010: Seasonal dynamics of virus-like particles and nucleic acids in water and bottom sediments of the Sevastopol Bay of the Black Sea. Water: Chemistry and Ecology, 2, 27–30.",10.29006/1564-2291.jor-2024.52(1).7,2010
Tweedle MF. Gadopentetate dimeglumine: an overview of a new magnetic resonance imaging contrast agent. Invest Radio. 1992;27(1):S2-6.,10.33590/emj/zrvn2069,1992
"Karataş, L., Alptekin, A., & Yakar, M. (2022). Creating Architectural Surveys of Traditional Buildings with the Help of Terrestrial Laser Scanning Method (TLS) and Orthophotos: Historical Diyarbakır Sur Mansion. Advanced LiDAR, 2(2), 54–63.",10.21834/e-bpj.v9i30.6235,2022
"Safty, A. 2003. Moral leadership: Beyond management and governance. Harvard International Review 25: 84–89.",10.1007/s11673-024-10337-z,2003
"3. Kubat Bakır, G. ve Akın, S. (2019). “Yaşlılıkta Kronik Hastalıkların Yönetimi İle İlişkili Faktörler”. Sağlık ve Toplum, 19 (2), 17-25.",10.37989/gumussagbil.1273125,2019
"[19] M. Tasdemir and U. Yerleşen, “Study on the friciton and wear behaviors of modified hdpe/glass spheres composites,” Romanian Journal of Materials, vol. 45, no. 1, pp. 59-66, 2015.",10.29130/dubited.1184670,2015
"5. Yu. Tkachuk, and O. Student, ""Assessment of blade 20X13 steel degradation after operation in a steam turbine by crack resistance,"" Mashynoznavstvo [in Ukrainian], Is. 1-2, 37-43 (2011).",10.15407/pcmm2024.05.108,2011
"Zhang D, Yu X, Zhang S, Duan M (2021) Effect of circular RNA has_circ_0070421 on replication of influenza A virus. Chin J Vet Sci 41(5):944–949",10.1007/s00430-023-00784-7,2021
"Yoon I. B., Kim. J. I., Yang. S. Y., 1998, Study on the food habits of Rana nigromaculata Hallowell and Rana plancyi chosenica Okada (Salientia; Ranidae) in Korea, Korean Journal of Environmental Biology, 16(2), 69-76.",10.5322/jesi.2024.33.11.863,1998
"Yuan B, Chen K, Bowler J M, Ye S (1990). The formation and evolution of the Qinghai lake. Quaterern Sci, 3: 233–243",10.1007/s11707-022-1054-6,1990
"Wang H, Wu L, Xue D, Liu X, Hong L, Mou L, Li X (2020) Distribution and environmental characteristics of Sphagnum peat bogs in Taishanmiao in Enshi City, Hubei Province. Wetland Sci 18:266–274",10.1007/s00248-024-02355-6,2020
"Xu, K.N., F. Chen, and X. Liu. 2015. The authenticity of China’s economic growth: an examination based on global night light data. Economic Research Journal 50 (09): 17–2957.",10.1007/s44176-024-00028-9,2015
"AOSA, 1990. Rules for testing seeds. J. Seed Technol., 12, 1–112.",10.1016/j.jssas.2024.08.005,1990
"Bayraktar, O., Özdemir, F., Çetin, Ö., Yılmaz, G., İnsansız Hava Araçları İçin Otonom İniş Sistemi Simülatörü Tasarımı, Bilişim Teknolojileri Dergisi, 5(2), 1-8, 2012.",10.17341/gazimmfd.1156817,2012
"Zhang C M, Zhu R, Yin T J and Yin Y S (2015). Advances in fan deltaic sedimentology. Xinjiang Petrol Geol, 36(3): 110–116",10.1007/s11707-022-1054-6,2015
"Ibne Sina, A. Al- Mantegh Alshefa, ebrahim bioohi, maktab al marashi, Ghom, Iran, ed. 1, p. 327, 1985.",10.11648/j.ijp.20241202.13,1985
"14. Müftüler, H. G. (2018). “Modern Toplumda Yaş ve Yaşlı Ayrımcılığı”. Türkiye Sosyal Hizmet Araştırmaları Dergisi, 2 (2), 181-214.",10.37989/gumussagbil.1273125,2018
K. Bastmeijer De Juridische Status van de Europese Steur (Acipenser sturio) en de Positie van Nederland (The Legal Status of the European Sturgeon (Acipenser sturio) and the Position of the Netherlands (with English summary)): Een onderzoek in opdracht van ARK Natuurontwikkeling en het Wereldnatuurfonds Nederland. 83 (2019).,10.1016/j.marpol.2024.106056,2019
"Huang, H., Xu, Y.-P., Deng, Z.-W., Real-time visual flight simulation system based on flightgear simulator, Journal of System simulation, 19(19), 780-785, 2007.",10.17341/gazimmfd.1156817,2007
"Certel Z & Kozak M. (2017) The Examination of Relationships between Academic Self-Efficacy, Academic Procrastination, and Locus of Academic Control of Athletes in Different Sports. Sport J., 19, 1 - 10.",10.55860/fyhdb993,2017
"Agrawal R, Mehta SC (2007) Weather based forecasting of crop yields, pests and diseases-IASRI models. J Ind Soc Agril Statist 61(2):255–263",10.1007/s00484-024-02829-9,2007
"Öztürk D, Çorlu M. Pnömonili Koyun akciğerlerinden izole edilen bakteriler ve antibiyotik duyarlılıkları. Vet. Bil. Derg. 2006; 22 (1-2): 59-63",10.46810/tdfd.1402193,2006
"Quine, W. V. O. 1998. “Reply to White,” The Philosophy of W. V. Quine, 2nd ed., (LaSalle, Illinois: Open Court Publishing, 663–665, 1988).",10.1163/18758185-bja10087,1998
"Shenhav, Y. 2005. “On Hybridization and Purification: Orientalism as a Broad Margined Discourse.” Theory and Criticism 26: 5–11. (in Hebrew)",10.1080/1472586x.2024.2352305,2005
"Quinn, Michael, ‘Jeremy Bentham on Physical Disability: A Problem for Whom?,' Review of Disability Studies (8.4 (2014)",10.4000/129mo,2014
"de Oteiza, M.B.M., Kalla, S., Conde, S.: Un estudio sobre la función Lommel-Maitland. Rev. Téc. Fac. Ing., Univ. Zulia 9(2), 33–40 (1986)",10.1186/s13660-024-03108-2,1986
"G Herzberg Infrared and Raman Spectra of Polyatomic MolecNEes, (New York: Van Nostrand-Reinhold) p 632 (1945)",10.1007/s12648-024-03221-4,1945
"Sale JEM, Gignac M, Hawker G. The relationship between disease symptoms, life events, coping and treatment, and depression among older adults with osteoarthritis. J Rheumatol. 2008;35(2):335–42.",10.1007/s12672-024-01642-5,2008
"S. Rajesh and V.J. Badheka, Proc. Inst. Mech. Eng. Part L J. Mater. Des. Appl. 233, 1053 (2017).",10.1007/s11837-024-06421-9,2017
"L. Bar, N. Sochen, Unsupervised Deep Learning Algorithm for PDE-based Forward and Inverse Problems, ArXiv abs/1904.05417 (2019).",10.1016/j.pacs.2024.100601,1904
"Wani, S. A., S. Qayoom, M. A. Bhat, A. A. Sheikh, T. A. Bhat, and S. Hussain. 2017. Effect of varying sowing dates and nitrogen levels on growth and physiology of scented rice. Oryza 54:97–106.",10.1080/00103624.2024.2440071,2017
"Arrell, R. (2020). No love drugs today. Philosophy and Public Issues, 10(3), 45–60.",10.1007/s44204-024-00222-2,2020
"Ali MY, Abdur RK, Shakoori AR. Haematological and biochemical responses of blood of an endangered South Asian fresh water fish Tor putitora against aquatic pollution. Pak. J. Zool., 2008; 40(2):123-134",10.26538/tjpps/v3i6.6,2008
"Spreeuwenberg, L., & Schaubroeck, K. (2020). The non-individualistic and social dimensions of love drugs. Philosophy and Public Issues, 10(3), 67–92.",10.1007/s44204-024-00222-2,2020
"Deüelle Lüski, A. 2001. “Rhizomatic Thinking.” Resling 8: 11–26. (in Hebrew)",10.1080/1472586x.2024.2352305,2001
Runge VM et al. Gadolinium: potential radiographic contrast agent. American Journal of Roentgenology. 2015;145(1):74-8.,10.33590/emj/zrvn2069,2015
"Song C H, Fang X M, Shi Y M, Wang X M (2000). Characteristics and genesis of eolian dunes on the west bank of Qinghai Lake. China Desert, 20(4): 443–446",10.1007/s11707-022-1054-6,2000
"He, L.Y., and D. Tao. 2020. Measurement of the lmpact of high-speed rail opening on knowledge spillover and urban innovation level. Journal of Quantitative & Technological Economics 37 (02): 125–142.",10.1007/s44176-024-00028-9,2020
"Trayes KP, Cokenakes SEH. Breast cancer treatment. Am Fam Phys. 2021;104(2):171–8.",10.1007/s12672-024-01642-5,2021
"Bondarenko A. V., Gerasimenko A. A. (2005). About one algorithm for fuzzy search of named components in specialized databases. Vestnik komp'yuternyh i informatsionnyh tekhnologiy, 12(8), 29 – 34. [in Russian language]",10.14489/vkit.2024.06.pp.003-013,2005
"Uz Baş, A., & Kabasakal, Z. (2013). Despair across teacher candidates and percieved social support. Journal of Research in Education and Teaching, 2 (1), 19–26.",10.69918/ejte.1558103,2013
"T. D. Thang, D. N. Dai, T. M. Hoi, and I. A. Ogunwande, Nat. Prod. Comm., 8, 239 (2013).",10.1007/s10600-024-04467-4,2013
"Yu, G.H. 2022. High-speed railway, technological innovation and spatial equilibrium of economy: interpretation of a three sector new economic geography model. Inquiry Into Economic Issues 09: 99–116.",10.1007/s44176-024-00028-9,2022
"Sun, W.Z., D. Niu, and G. Wan. 2022. Transportation infrastructure and lndustrial structure upgrading: evidence from China’s high-speed railway. Journal of Management World 38 (03): 19–34+58+35-41.",10.1007/s44176-024-00028-9,2022
"Siami-Namini, Sima (2017) Granger causality between exchange rate and stock price: a Toda Yamamoto approach, 7 (4), 603-607.",10.1016/j.najef.2023.102068,2017
"Kıvanç, Ö.C., Mungan, T.E., Atila, B., Tosun, G., An integrated approach to development of unmanned ground vehicle: design, analysis, implementation and suggestions, Journal of the Faculty of Engineering and Architecture of Gazi University, 34(4), 1957-1973, 2019.",10.17341/gazimmfd.1156817,1957
"Casey C, Slawson DC, Neal LR (2010) Vitamin D supplementation in infants, children, and adolescents. Am Fam Physician 81:745–748",10.55544/jrasb.3.2.43,2010
"Singh KP, Shukla AN, Singh JS (2010) State-level inventory of invasive alien plants, their source regions and use potential. Curr Sci 99(1):107–114",10.1007/s42965-024-00345-w,2010
"Tharmaratnam T, Premachandra J. Investigation on the use of coconut shell powder replacing carbon black as filler in natural rubber. Tech Session-Sci Technol. 2015:44.",10.1080/19475411.2024.2408013,2015
"Wu Y, Zhang T, Zhang Z, Cui H (2010). Types and characteristics of depositional systems tract and its petroleum geological significance. Journal of Palaeogeography, 12(1): 69–81",10.1007/s11707-022-1054-6,2010
"Hardacre, B., Hafner, A., & Nakama, P. (2021). The Impact of Test Anxiety on Teacher Credential Candidates. Teacher Education Quarterly, 48 (3), 7–28.",10.69918/ejte.1558103,2021
"Baudouin de Courtenay, J. (1903). O psychicznych podstawach zjawisk językowych. Przegląd Filozoficzny 6, z. 2, 153–171.",10.28925/2412-2491.2024.224,1903
"Schmidt E., Schmidt F. W. (1963). Determine of serum glutamic oxaloacetic and glutamic pyruvic transaminase. Biol. Clin. 1963; 3: 1.",10.26538/tjpps/v3i6.6,1963
"Roshan, K. (2020). Priya damwani, Shivam kumar, Adarsh suman, Suthar Usha. An overview on health benefits and risk factor associated with coffee. International Journal Research and Analytical Review, 7(2), 237-249.",10.55544/jrasb.3.2.43,2020
"Fatima B.; Mohamed S.; Mahmoud M.S.S.; Effect of visco-Pasternak foundation on thermo-mechanical bending response of anisotropic thick laminated composite plates. Steel Compos Struct 2023,47,693-707",10.2174/0126661454308143240529060134,2023
"Zhang, H.M., and T. Sun. 2022. How does high-speed railway (HSR) impact the industrial distribution and structural change between HSR cities and surrounding cities? A mechanism analysis based on spatial econometric models. Industrial Economics Research 06: 1–13.",10.1007/s44176-024-00028-9,2022
"Kush A. Isoprenoid biosynthesis: the Hevea factory. Plant Physiol Bioch, 1994, 32: 761–767.",10.1360/ssv-2024-0165,1994
"Haichour, S. and Benabdeli, K. 2022. Algeria's forest ecosystem in the face of anthropogenic and climatic pressures. Geo-Eco-Trop 46(1):109-124.",10.15243/jdmlm.2024.113.5695,2022
"Ojediran TK, Emiola IA. Consequences of defattening and cooking on the proximate and mineral composition of Jatropha curcas Kernel Meal. Int. J. Phytofuels Allied Sci., 2012; 1(1):27-34",10.26538/tjpps/v3i6.6,2012
"SHAFQAT ZAIDI, R. K. M., TYAGI, S., & Dubey, R. K. A. (2021). Effect of Kalahari Cactus Extract on Appetitte, Body Weight And Lipid Profile In Cafeteria Diet Induced Obesity In Experimental Animal. Annals of the Romanian Society for Cell Biology, 25(6), 13976-13987.",10.55544/jrasb.3.2.43,2021
"Azoulay, A., and A. Ophir. 2000. “'We Are Not Asking What It Means but How Does It Work:’ Introduction to A Thousand Plateaux.” Theory and Criticism 17: 123–131. (in Hebrew)",10.1080/1472586x.2024.2352305,2000
"Yu, B.B. 2015. The economic growth effect of industrial structure adjustment and productivity improvement: an analysis based on the dynamic spatial panel model of Chinese cities. China Industrial Economics 12: 83–98.",10.1007/s44176-024-00028-9,2015
"Mohanty, A. (2021). Gender difference in locus of control: A comparative study. International Journal of Indian Psychȯlogy, 9(4).",10.55860/fyhdb993,2021
Bauer CJ. The Long View of the Water/Energy Nexus: Hydropower’s First Century in the U.S.A.Century in the U.S.A. Nat Resour J. 2020;60(2):173–206.,10.1007/s40518-024-00237-6,2020
"Van Roy, P. (2008). Capital requirements and bank behavior in the early 1990s: Cross country evidence. International Journal of Central Banking, 4(3), 29–60.",10.1080/23322039.2024.2322889,2008
"Carnap, R. The Logical Structure of the World Open Court Publishing, Amazon, ISBN: 0812695232, 9780812695236, 2003.",10.11648/j.ijp.20241202.13,2003
"Das, P. K., Dangi, R. K., & Naik, I. C. (2020). Career decision and indecision of students at secondary level schools. International Journal of Management (IJM), 11(6).",10.1007/s12144-024-06033-1,2020
"Machinek Marian, „Autonomia jako wartość i problem moralny w relacji lekarz-pacjent” Medycyna Praktyczna, nr 1 (2011): 105-110.",10.36128/priw.vi49.451,2011
"Zhao, K., Q. Hou, and W. Li. 2021. Spillover effects of economic development in provincial capitals: an analysis based on industrial enterprise data. Economic Research Journal 56 (03): 150–166.",10.1007/s44176-024-00028-9,2021
"M. Bai, Z. Bai, L. Jiang, D. Zhang, Q. Yao, D. Wei, C. Dong, and K. Xiao, J. Chin. Soc. Corros. Prot. 40, 159 (2020).",10.1007/s11837-024-06421-9,2020
"Otimenyin SO, Uzochukwu DC. (2012). Spasmolytic and Anti-diarrhea effects of the bark of Erythrina senegalensis and root of Kigelia africana. Asian J. Pharm Clin. Res., 2012; 3(4):11-14.",10.26538/tjpps/v3i6.6,2012
"[11] M. Taşdemir, “Mechanical properties of polypropylene biocomposites with sea weeds,” Nanomaterials Science & Engineering, vol. 1, no. 1, pp. 22-29, 2019.",10.29130/dubited.1184670,2019
"Muşmal, H. (2006) Beyşehir kazası Kurucaova köyü'nde yaşanan 1909 ve 1932 yılı afetleri ve afet sonrasında yeniden yapılanma faaliyetleri, Selçuk Üniversitesi Fen-Edebiyat Fakültesi Edebiyat Dergisi, 16, 69-90.",10.53472/jenas.1412321,2006
"Cohen, E., Mesika, R. & Schwartz, Z. 1998. A multidimensional approach to menu sales mix analysis. Praxis, 2(1), pp.130-144;",10.5937/vojtehg72-52600,1998
"Granet, A.M. and Dobré, M. 2021. City dwellers and the forest in France. Revue Forestière Française 61(5):521-534 (in French).",10.15243/jdmlm.2024.113.5695,2021
"Cabı, E., & Yalçınalp, S. (2013). Occupational anxiety scale for prospective teachers: A study on validity and reliability. Hacettepe University Journal of Education, 44, 85–96.",10.69918/ejte.1558103,2013
"Kubiak Rafał, „Przywilej terapeutyczny” Medycyna Paliatywna, nr 1 (2017): 12-20.",10.36128/priw.vi49.451,2017
"Abrantes, G. Impacts of smoking during pregnancy for the child’s growth: systematic review. Revista UNILUS Ensino e Pesquisa. 2020; 17 (47): 83.",10.5902/2236583441816,2020
"Rucakumugufi, D., Dieng, M., Ntakarutimana, V., Sambe, M.F., Bigumandondera, P., Codou Mar Diop, M.C., 2021. Co-compostage des déchets solides ménagers avec les déjections d’élevage: optimisation du rapport C/N des substrats de départ. Afr. Sci. 18(2), 94–107.",10.1016/j.jssas.2024.08.005,2021
"Goldstein R. J. (2006), Prelude to McCarthyism: The making of a blacklist, “Prologue Magazine”, 38(3).",10.14746/r.2024.1.5,2006
"Southorn W A, Yip E. Latex flow studies. III. Electrostatic considerations in the colloidal stability of fresh Hevea latex. J Rubb Res Inst Malaya, 1968, 20: 201–215.",10.1360/ssv-2024-0165,1968
"Manav, Ö. (2022). Unemployment coping situations of unassigned teachers. Turkish Scientific Researches Journal, 7 (2), 460-473.",10.69918/ejte.1558103,2022
"Wu H L, Yu B, Cheng Q Q, et al. Cloning and Characterization of Jasmonic Acid-Induced AP2/EREBP Genes in Laticifer from Rubber Tree (Hevea brasiliensis Muell. Arg.). Chin Agric Sci Bull, 2010, 26: 287–293.",10.1360/ssv-2024-0165,2010
"Zhao, L., Nolan, M. & Remington, P. L. Mountain bike injury incidence and risk factors among members of a wisconsin mountain bike club. WMJ 122(2), 121–123 (2023).",10.1038/s41598-024-54774-7,2023
"India., T. o. ( June 20, 2016.). India bans use of cancer-causing additive, potassium bromate, in bread, other food, .",10.21048/ijnd.2024.61.1.34925,2016
"MARTÍNEZ CROVETTO, R. 1981. Las plantas utilizadas en medicina popular en el noroeste de Corrientes. Miscelánea Fundación Miguel Lillo 69: 7-139.",10.31055/1851.2372.v59.n1.40763,1981
"Ferin Nakya, Aisha, Andi Muhammad Rifansyah Alghifari, Zulfikar Rizqy Ramadhan, Rizwar Khalifatullah Ahmad, Muhammad Zaini, and Havidz Ageng Prakoso. n.d. “Perbandingan Gerakan Sosial Baru Dan Gerakan Sosial Lama (Studi Kasus Di Myanmar).” JIMPS: Jurnal Ilmiah Mahasiswa Pendidikan Sejarah 8(4):2023. doi: 10.24815/jimps.v8i4.26095.",10.24815/jsu.v18i1.39337,2023
"Fundali, Irena, Aneta Smolińska. 2015. “Świadomość ekologiczna jako instrument realizacji polityki ekologicznej w Polsce, Stanach Zjednoczonych Ameryki i Australii. [Environmental Awareness as a Tool to Implement Environmental Policies in Poland, The United States of America and Australia].” Rocznik Politologiczny 11: 41-57.",10.21697/seb.5833,2015
"Y.Hu , V. A.Lopez , H.Xu , J. P.Pfister , B.Song , K. A.Servage , M.Sakurai , B. T.Jones , J. T.Mendell , T.Wang , J.Wu , A. M.Lambowitz , D. R.Tomchick , K.Pawłowski and V. S.Tagliabracci , bioRxiv , 2024.04.24.590974, 2024",10.1039/d4cb00125g,2024
"Cirianni, F. M. M., Comi, A., & Luongo, A. S. (2022). A sustainable approach for planning of urban pedestrian routes and footpaths in a pandemic scenario. TeMA, 15(1), 125–140.",10.1186/s12544-024-00685-7,2022
"Manjunatha M, Akshay NK, Jeevan H (2016) Durability studies on concrete by replacing natural sand with M-sand: a review. Int J Emerg Technol Adv Eng 6(3):293–296",10.1617/s11527-024-02357-3,2016
"Kotlarska-Michalska, Anna. 2012. „Więź w rodzinach wielodzietnych”. Roczniki Socjologii Rodziny, 14: 57-70.",10.14746/tim.2024.36.2.22,2012
"Pişkin, Z., & Parlar, H. (2021). Investigation of teaching profession in terms of social status and perception, Academic Platform Journal of Education and Change, 4 (1), 1-28.",10.69918/ejte.1558103,2021
"Supratno, H., Yulianto, B., Darni, Yunus, Indriyanti, A. D., & Bakar, A. (2020). Entrepreneurship Education in Pesantren to Train and Strengthen Santri’s Independence in The Era of Covid-19. PalArch’s Journal of Archaeology of Egypt/Egyptology, 17(8).",10.47134/ijsl.v5i1.309,2020
"Pathak, R.S.: Certain convergence theorems and asymptotic properties of a generalization of Lommel and Maitland transformations. Proc. Natl. Acad. Sci., India A-36(1), 81–86 (1966)",10.1186/s13660-024-03108-2,1966
"Mueller, M., Casser, V., Lahoud, J., Smith, N., Ghanem, B., Ue4sim: A photo-realistic simulator for computer vision applications, arXiv, 1708(05869), 1-18, 2017.",10.17341/gazimmfd.1156817,2017
"Pandey, M., Singh, A., Agnihotri, N., Kumar, R., Saha, P., Pandey, R. P., & Kumar, A. (2022). Clinical Pharmacology & Therapeutic uses of Diuretic Agents: A Review. Journal for Research in Applied Sciences and Biotechnology, 1(3), 11-20.",10.55544/jrasb.3.2.43,2022
Baruah SP. Exploring the capability of MS EXCEL for constructing bias-corrected and accelerated (BCA) bootstrap confidence intervals to aid in decision-making during an emergency. Spreadsheets Educ. 2023 Mar 10:1–16.,10.24018/ejece.2024.8.3.610,2023
"C. Zhang, J. Huang, T. Zhang, and Y. Ji, Trans. China Weld. Inst. 33, 97 (2012).",10.1007/s11837-024-06421-9,2012
"Minchev N.D., Minchev I.N., Minchev Yu.N., On the Dynamic Connection Between the Vibrations of the Propeller and the Main Ship Engine, Mechanics of Machines Journal, No. 105, 2014, pp. 87-91.",10.17770/etr2024vol3.8125,2014
"Segal LM, Stephenson R, Dawes M, Feldman P. Prevalence, diagnosis, and treatment of ankyloglossia: Methodologic review. Can Fam Physician. 2007;53(6):1027-33. PMid:17872781",10.3889/oamjms.2024.9604,2007
"Case D.; Babin V.; Berryman J.; Amber 14; university of california: San francisco. , 2014,1-826",10.2174/1570180819666220621164014,2014
"C. Wetterich, The cosmological constant and the time variation of the fundamental constants. Astron. Astrophys. 301, 321 (2015)",10.1140/epjc/s10052-024-12613-z,2015
"Bungãu SG, Popa V-C (2015) Between religion and science some aspects concerning illness and healing in antiquity. Transylvanian Rev 24:3–18",10.55544/jrasb.3.2.43,2015
"Yazdanpanah, T., Khodashenas, S. R., Davari, K., Ghahraman, B. (2008). Water resources management in a Watershed with WEAP model (A case study of Azghad watershed). Journal of Agriculture Science and Technology, 22 (1), 213–221.",10.31435/ijitss.4(44).2024.3012,2008
"Xu, Z., Y. Gao, and Z. Huo. 2022. Study on the influence of high-speed rail on energy efficiency—theoretica analysis and empirical test based on “center-periphery” model. Soft Science 36 (05): 1–8+14.",10.1007/s44176-024-00028-9,2022
"Zhang H F, Chen Y L, Xu W C, Liu R, Yuan H L, Liu X M (2006). Granitoids around Gonghe Basin in Qinghai province: petrogenesis and tectonic implications. Acta Petrol Sin, 22(12): 2910–2922",10.1007/s11707-022-1054-6,2006
"Cam D. H., Phuong N. Types of formation origin and division of mine groups for exploration of kaolin mines in the Northeastern region of Vietnam. Journal of Mining and Earth Sciences. 2005;10:15–19. (In Vietnamese)",10.17073/2500-0632-2023-12-189,2005
"Gnyszka A, Jastrzebski Z, Flis S. DNA methyltransferase inhibitors and their emerging role in epigenetic therapy of cancer. Anticancer Res. 2013;33(8):2989–2996.",10.1080/17501911.2024.2430169,2013
"Tittlbach S, Bär K, Schuch K, Stopfer-Höhn M, Lauter A (2014) Männersportgruppen: Erfolgsfaktoren und praktische Ideen. Ü. Magazin 5:9–19",10.1007/s11553-024-01117-z,2014
