referencia,estado,fuente,doi,titulo_encontrado,autor_encontrado,anio_referencia,anio_encontrado,retractada,score_titulo,detalle
"(2023, November 08). Greed in Front of Many People Using Electric Shock to Kill Earthworms. Available online: https://www.vietnam.vn/en/ham-loi-truoc-mat-nhieu-nguoi-dan-dung-kich-dien-tan-diet-giun-dat/.",NO VERIFICABLE,,,,,2023,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"ANVISA (Brazilian National Surveillance Agency), 2019c, Farmacopeia Brasileira (6th ed.). 〈https://www.gov.br/anvisa/pt-br/assuntos/farmacopeia/farmacopeia-brasileira〉.",NO VERIFICABLE,,,,,,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Collison T Smith ; J Michael, Engel AM Peripheral Vascular Disease and Outcomes Following Coronary Artery Bypass Graft Surgery..",NO VERIFICABLE,,,,,,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Tian W M, Shi M J, Yu F Y, et al. Localized effects of mechanical wounding and exogenous jasmonic acid on the induction of secondary laticifer differentiation in relation to the distribution of jasmonic acid in Hevea brasiliensis. Acta Bot Sin, 2003, 45: 1366–1372.",NO VERIFICABLE,,,,,2003,,,0.9,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Turner, D. Aquinas, a Portrait. New Haven & London: Yales University Press, 2013.",NO VERIFICABLE,,,,,2013,,,0.7,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Pallasmaa, Juhani. (2016). Tenin Gözleri. İstanbul: YEM Yayınları.",NO VERIFICABLE,,,,,2016,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"(2024, March 13). Trustworthy Virtual Experiments and Digital Twins—ViDiT. Available online: https://www.vidit.ptb.de.",NO VERIFICABLE,,,,,2024,,,0.62,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Dynamics, U. Aerosim Toolbox. http://www.u-dynamics.com/aerosim/ Yayın tarihi Şubat 1, 2014. Erişim tarihi Şubat 1, 2014.",NO VERIFICABLE,,,,,2014,,,0.2,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Singh, A., Cooper, D., Blundell, N., Gibbons, G., and Pratihar, D. (2012, January 25–27). Modelling of Direct Metal Laser Sintering of EOS DM20 Bronze Using Neural Networks and Genetic Algorithms. Proceedings of the 37th International MATADOR Conference, Manchester, UK. Available online: https://books.google.com/books?hl=en&lr=&id=2BTAycmR_00C&oi=fnd&pg=PA393&dq=%5D+A.+Singh,+D.+Cooper,+N.+Blundell,+G.+Gibbons,+D.+Pratihar,+Modelling+of+direct+metal+laser+sintering+of+EOS+DM20+bronze+using+neural+networks+and+genetic+algorithms,+Proceedings+of+the+37th+International+MATADOR+Conference+(2012)&ots=-5X0RTSvvq&sig=Bln-pZs_6BJMnCpPQoGx8ZpfdKU.",NO VERIFICABLE,,,,,2012,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Brown, L. D. and Cohen, A. (1974). Point and confidence estimation of a common mean and recovery of interblock information. Annals of Statistics, 2, 963–976.",VERIFICADA,Crossref,10.1214/aos/1176342817,Point and Confidence Estimation of a Common Mean and Recovery of Interblock Information,Brown,1974,1974,NO,1.0,
"Madaan, R., Gyde, N., Vemprala, S., Brown, M., Nagami, K., Taubner, T., Cristofalo, E., Scaramuzza, D., Schwager, M., Kapoor, A., Airsim drone racing lab, NeurIPS 2019 Competition and Demonstration Track, PMLR, 177-191, 2020.",NO VERIFICABLE,,,,,2019,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Rutkowska K & Gierczuk D. (2014). Locus of Control in Specific Sports Situation in Beginner Wrestlers. Journal of Martial Arts Anthropology, 14(3), 33-41.",NO VERIFICABLE,,,,,2014,,,0.43,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Yaseen, M., Karim, M., Luqman, M., & Mehmood, M. U. (2019). Role of agricultural journalism in diffusion of farming technologies. Journal of Agricultural Research, 57(4). https://doi.org/339912197",NO VERIFICABLE,,,,,2019,,,0.43,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Barlas Z, Ozsarac U. Effects of FSW parameters on joint properties of AlMg3 alloy. Weld J. 2012;91(1):16S–22S.",NO VERIFICABLE,,,,,2012,,,0.3,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"夏光. 建立系统完整的生态文明制度体系&#8212;&#8212;关于中国共产党十八届三中全会加强生态文明建设的思考[J]. 环境与可持续发展, 2014, 39(2): 9-11.",NO VERIFICABLE,,,,,2014,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Baumel, J. J. Handbook of Avian Anatomy: Nomina Anatomica Avium 2nd edn. (Harvard Univ Nuttall ornithological, 1993).",VERIFICADA,Crossref,10.2307/30135049,Handbook of Avian Anatomy: Nomina Anatomica Avium,Harrison,1993,1993,NO,1.0,
"Erdoğan, N. (2000). Devleti idare etmek: maduniyet ve düzenbazlık. Toplum ve Bilim Dergisi, 83, 8-31.",NO VERIFICABLE,,,,,2000,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Bell, D. A. (2015). The China Model. Princeton: Princeton University Press.",NO VERIFICABLE,,,,,2015,,,0.57,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Das M, Chaudhuri S, Law S. Benzene exposure-an experimental machinery for induction of myelodysplastic syndrome: stem cell and stem cell niche analysis in the bone marrow. J Stem Cells. 2012;7:43–59.",NO VERIFICABLE,,,,,2012,,,0.58,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"TORRES, Iraildes Caldas. As Novas Amazônidas. Manaus: Editora da Universidade do Amazonas, EDUA, 2005, p. 13-39.",NO VERIFICABLE,,,,,2005,,,0.14,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"DEL PRIORE, Mary (Org.). História das mulheres no Brasil. Coordenação de textos de Carla Bassanesi. São Paulo: Contexto, 1997.",VERIFICADA,Crossref,10.1590/s0104-71831997000300020,"DEL PRIORE, Mary (Org.). História das mulheres no Brasil. Coordenação de textos de Carla Bassanesi. São Paulo: Contexto, 1997. 678 p.",Mattos,1997,1997,NO,1.0,
"Massey, Doreen. 1994. “A Global Sense of Place.” In Space, Place, and Gender, edited by Doreen Massay, 146–156. Cambridge: Polity Press.",METADATOS DUDOSOS,Crossref,10.4324/9781315832555-19,"Doreen Massey, 'A Global Sense of Place' (1991)",,1994,2014,NO,0.83,Año citado (1994) no coincide con el registrado (2014)
"Pan-cancer analysis of whole genomes, Nature 578(7793) (2020) 82-93.",NO VERIFICABLE,,,,,2020,,,0.44,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"M. B. H. Wiem and Z. Lachiri. 2017. Emotion classification in arousal valence model using MAHNOB-HCI database. Int. J. Adv. Comput. Sci. Appl. 8, 3 (2017).",VERIFICADA,Crossref,10.14569/ijacsa.2017.080344,Emotion Classification in Arousal Valence Model using MAHNOB-HCI Database,Ben,2017,2017,NO,1.0,
Associação Brasileira do Sono. O sono normal [Internet]. São Paulo; 2021[2022 Jun 29]. Available from: https://absono.com.br/wp-content/uploads/2021/03/cartilha_sono_normal_2021.pdf.,NO VERIFICABLE,,,,,2021,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Rahman, M. (2024, June 25). Lead Poisoning: The Next Big Threat for Bangladesh. Available online: https://www.thedailystar.net/opinion/views/news/lead-poisoning-the-next-big-threat-bangladesh-3151011.",NO VERIFICABLE,,,,,2024,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Lister, M., and L. Wells. 2001. “Seeing Beyond Belief: Cultural Studies as an Approach to Analysing the Visual.” In Handbook of Visual Analysis, edited by T. Van Leeuwen, and C. Jewitt, 61–91. London: Sage Publications.",METADATOS DUDOSOS,Crossref,10.4135/9780857020062.n4,"Seeing Beyond Belief: Cultural Studies as an Approach to Analysing the
                    Visual",Lister,2001,2004,NO,1.0,Año citado (2001) no coincide con el registrado (2004)
"Tugendhat, Ernst (1979). Selbstbewußtsein und Selbstbestimmung: Sprachanalytische Interpretationen, Suhrkamp Verlag.",NO VERIFICABLE,,,,,1979,,,0.75,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Anti-racist scholarly reviewing practices: A heuristic for editors, reviewers, and authors. (2021). https://tinyurl.com/reviewheuristic",VERIFICADA,Crossref,10.1287/orms.2021.04.21,Op-ed: Anti-racist teaching practices,,2021,2021,NO,0.75,
"Jin H B, Tian W M, Shi M J. Primary laticifer differentiation in seedling of 1981’IRRDB wild germplasm in rubber tree (in Chinese). Chin J Trop Crops, 2017, 38: 1181–1187 [金华斌, 田维敏, 史敏晶. 橡胶树1981’IRRDB 野生种质苗期初生乳管分化的研究. 热带作物学报, 2017, 38: 1181–1187].",NO VERIFICABLE,,,,,1981,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Chelton, D. B., M. G. Schlax, and R. M. Samelson, 2007: Summertime coupling between sea surface temperature and wind stress in the California Current System. J. Phys. Oceanogr., 37, 495–517, https://doi.org/10.1175/JPO3025.1.",VERIFICADA,Crossref,10.1175/jpo3025.1,Summertime Coupling between Sea Surface Temperature and Wind Stress in the California Current System,Chelton,2007,2007,NO,1.0,
"Ray, V. (2018). The racial politics of citation. Inside Higher Ed. https://www.insidehighered.com/advice/2018/04/27/racial-exclusions-scholarly-citations-opinion",NO VERIFICABLE,,,,,2018,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Pitowsky, I. (1989). Quantum Probability—Quantum Logic, Springer. Lecture Notes in Physics.",VERIFICADA,Crossref,10.1007/bfb0021186,Quantum Probability — Quantum Logic,,1989,1989,NO,1.0,
"Case, D. A.; Aktulga, H. M.; Belfon, K.; Ben-Shalom, I.; Brozell, S. R.; Cerutti, D. S.; Cheatham III, T. E.; Cruzeiro, V. W. D.; Darden, T. A.; Duke, R. E. Amber 2021; University of California: San Francisco, 2021.",NO VERIFICABLE,,,,,2021,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Estimation of Neurons and Forward Propagation in Neural Net. https://www.analyticsvidhya.com/blog/2021/04/estimation-of-neurons-and-forward-propagation-in-neural-net/.,NO VERIFICABLE,,,,,2021,,,0.38,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Sulieman, A. S., Eleyan, H. D., & Alkhateeb, M. (2022). E-government: Limitations and challenges: A general framework for both developed and developing countries. International Journal of Scientific & Technology Research, 11(1), 97-103.",NO VERIFICABLE,,,,,2022,,,0.43,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"ERM. (2022, May 17). Survey reveals costs and benefits of climate-related disclosure for companies and investors. https://www.erm.com/news/survey-reveals-costs-and-benefits-of-climate-related-disclosure-for-companies-and-investors/",NO VERIFICABLE,,,,,2022,,,0.6,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Chaturvedy, Rajeev Ranjan. New Maritime Silk Road: Convergent Interests and Regional Responses // ISAS Working Paper, No. 197, 8 October 2014. Institute of South Asian Studies, National University of Singapore. P. 10-13.",NO VERIFICABLE,,,,,2014,,,0.57,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Lydersen, K. (2024, August 12). Inundation and Injustice: Flooding Presents a Formidable Threat to the Great Lakes Region. Available online: https://borderlessmag.org/2023/08/03/inundation-and-injustice-flooding-presents-a-formidable-threat-to-the-great-lakes-region/.",METADATOS DUDOSOS,Crossref,10.2307/jj.40478856.9,Cyclones in the Great Lakes Region,,2024,1991,NO,0.75,Año citado (2024) no coincide con el registrado (1991)
ASTM. E 407-99: standard practice for microetching metals and alloys. West Conshohocken: ASTM; 1999.,VERIFICADA,Crossref,10.1520/mnl65201211106,JPM ASTM Standard Practice E2691,,1999,,NO,0.75,
"Gao JF, Liu CS. 2010. Overview of research on the medicinal resources of conman Magnolcavine fruit. Guide China Med. 8:66–69.",NO VERIFICABLE,,,,,2010,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"(2023, August 22). ADRINET. Available online: https://adrinet.italy-albania-montenegro.eu/.",NO VERIFICABLE,,,,,2023,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Wroński Konrad, Roman Bocian, Adam Depta, Jarosław Cywiński, Adam Dziki, „Opinie pacjentów na temat modelu paternalistycznego w relacji lekarz-pacjent. Prawne aspekty autonomii pacjenta w opiece zdrowotnej” Nowotwory. Journal of Oncology, nr 4 (2009): 266-273.",NO VERIFICABLE,,,,,2009,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Bruun, P. (2022, July 11). Available online: https://hdl.handle.net/11681/3426.",NO VERIFICABLE,,,,,2022,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Mohamed RA, Abdelsalam EB. A review on Pneumonic Pasteurellosis (Respiratory Mannheimiosis) with emphasis on pathogenesis, virulence mechanisms and predisposing factors. Bulg J Vet Med. 2008; 11 (3): 139-60.",NO VERIFICABLE,,,,,2008,,,0.75,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Kim, S. (2014b). If We Can Practice Democracy in Our Terms. Fifteen Eighty Four, March 12, 2014, https://www.cambridgeblog.org/2014/03/if-we-can-practice-democracy-in-our-terms/.",NO VERIFICABLE,,,,,2014,,,0.17,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
BirdLife International (2023b). Cariama cristata. The IUCN Red List of Threatened Species 2016. Accessed at: https://www.iucnredlist.org/species/22692205/93341300 on 2023-07-12,VERIFICADA,Crossref,10.2305/iucn.uk.2016-3.rlts.t22692205a93341300.en,Cariama cristata: BirdLife International,,2016,2016,NO,1.0,
"WHO, “Pneumonia in children.” Accessed: Apr. 16, 2023. [Online]. Available: https://www.who.int/news-room/fact-sheets/detail/pneumonia",NO VERIFICABLE,,,,,2023,,,0.21,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
NISRA (2017) Northern Ireland Multiple Deprivation Measures 2017 – Technical Report. Belfast: Northern Ireland Statistics and Research Agency.,VERIFICADA,OpenAlex,,Northern Ireland Multiple Deprivation Measures 2017,IJpelaar,2017,2019,NO,1.0,
"[6]. T. Luukkonen, ""Modelling and control of quadcopter,"" Independent research project in applied mathematics, Espoo, Vol. 22, p. 22, (2011).",NO VERIFICABLE,,,,,2011,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Simonini P. G. Ricceri and S. Cola. 2007. “Geotechnical characterization and properties of Venice lagoon heterogeneous silts.” In Proc. 2nd Int. Workshop on Characterization and Engineering Properties of Natural Soils 2289–2327. London: Taylor & Francis.,VERIFICADA,Crossref,10.1201/noe0415426916.ch17,Geotechnical characterization and properties of Venice lagoon heterogeneous silts,Cola,2007,2006,NO,1.0,
"Rivero, María Luisa, 2010. «Los verbos psicológicos con experimentante dativo en español y el cambio histórico», Cuadernos de la ALFAL, 1, 167–193.",NO VERIFICABLE,,,,,2010,,,0.29,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Chen YL, Tan JJ, Lu LL, Tan CH, Jiang SH, Zhu DY. Water-soluble constituents of Clerodendranthus spicatus. Chin Tradit Herbal Drugs. 2009;40(5):689–693.",NO VERIFICABLE,,,,,2009,,,0.27,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Australian Prescriber, “Suvorexant for insomnia”, available from [https://australianprescriber.tg.org.au/articles/suvorexant-for-insomnia.html], Accessed 18 May 2024",METADATOS DUDOSOS,Crossref,10.18773/austprescr.2017.040,New drug: Suvorexant for insomnia,,2024,2016,NO,0.67,Año citado (2024) no coincide con el registrado (2016)
"Converse, P. E. (1964). The nature of belief systems in mass publics. In D. E. Apter (Ed.), Ideology and discontent (pp. 206–261), The Free Press.",METADATOS DUDOSOS,Crossref,10.1080/08913810608443650,The nature of belief systems in mass publics (1964),Converse,1964,2006,NO,1.0,Año citado (1964) no coincide con el registrado (2006)
"""The European Committee on Antimicrobial Susceptibility Testing. Breakpoint tables for interpretation of MICs and zone diameters. Version 14.0. 2024. Available from: https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Breakpoint_tables/v_14.0_Breakpoint_Tables.pdf",NO VERIFICABLE,,,,,2024,,,0.57,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Ponnusamy, S.: The Hardy space of hypergeometric functions. Complex Var. Theory Appl. 29(1), 83–96 (1996). https://www.tandfonline.com/doi/abs/10.1080/17476939608814876",VERIFICADA,Crossref,10.1080/17476939608814876,The hardy spaces of hypergeometric functions,Ponnusamy,1996,1996,NO,0.75,
Cambridge Dictionary. (2024a). Love. https://dictionary.cambridge.org/dictionary/english/love.,NO VERIFICABLE,,,,,,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"PETRY, Liane Solange. Reconstrução do conhecimento dos alunos sobre ecossistemas por meio de Unidade de Aprendizagem. 2010. Dissertação (Mestrado em Educação em Ciências e Matemática) – Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre.",NO VERIFICABLE,,,,,2010,,,0.22,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
FAO. (2003). Other uses of seaweeds. 〈https://www.fao.org/3/y4765e/y4765e0c.htm〉.,NO VERIFICABLE,,,,,2003,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Park S. et al. 2021. “KLUE: Korean language understanding evaluation.” Preprint submitted May 20 2021. https://arxiv.org/abs/2105.09680.,NO VERIFICABLE,,,,,2021,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"<small>GRINT, D. J.</small>, <small>WING, K.</small>, <small>HOULIHAN, C.</small>, <small>GIBBS, H. P.</small>, <small>EVANS, S. J.</small>, <small>WILLIAMSON, E.</small>, <small>MCDONALD, H. I.</small>, <small>BHASKARAN, K.</small>, <small>EVANS, D.</small> et al. (2022). Severity of SARS-CoV-2 alpha variant (B.1.1.7) in England. <i>Clin. Infect. Dis.</i> <b>75</b> e1120–e1127.",VERIFICADA,Crossref,10.1002/smll.202270003,Masthead: (Small 1/2022),,2022,2022,NO,0.67,
PictonC SharmaR MurrayR.A vision for pharmacy professional practice in England.,NO VERIFICABLE,,,,,,,,0.75,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Mariano, K. L. P., A. María Suárez Romero, C. Correa Neto Ribeiro. 2015. “Percepções governamentais sobre a integração regional na América do Sul.” Boletim de Economia e Política Internacional, no. 21: 33–43.",NO VERIFICABLE,,,,,2015,,,0.71,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"McFarlane, N. (2017, October 19). The UAE now has a minister of Artificial Intelligence. Retrieved November 22, 2017. http://whatson.ae/dubai/2017/10/uae-now-minister-artificial-intelligence/",NO VERIFICABLE,,,,,2017,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Foucault, M. 1977a. Discipline and Punish. New York: Pantheon Books.",NO VERIFICABLE,,,,,,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Team TE. Endnote. Endnote 20 ed.Philadelphia PA:Clarivate Analystics;2020.,NO VERIFICABLE,,,,,2020,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Prasad, A., & Prasad, P. (1998). “Everyday struggles at the workplace: The nature and implications of routine resistance in contemporary organizations.” Research in the Sociology of Organizations, 15, 225-257.",NO VERIFICABLE,,,,,1998,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Charmaz K (2014) Constructing grounded theory (SAGE Publications, London).",METADATOS DUDOSOS,Crossref,10.4135/9781036232412.n21,Constructing Grounded Theory Analyses,Charmaz,2014,2021,NO,0.75,Año citado (2014) no coincide con el registrado (2021)
"Waton S , Johal A , Birmpili P , et al . National vascular registry: 2022 annual report. NVR, London The Royal College of Surgeons of England; 2022.",NO VERIFICABLE,,,,,2022,,,0.57,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
BikinesiL SpinelliM NyoniN HifindwakoJ MengistuA KamanguJ et al.A low‐cost rapid urine test for TFV increases ART adherence and viral suppression CROI 2023: Conference on Retroviruses and Opportunistic Infections; February 19–22 2023;Seattle Washington. Abstract 1038.5.,METADATOS DUDOSOS,Crossref,10.1310/eybu-95qu-j9jm-jc1e,12th Conference on Retroviruses and Opportunistic Infections (CROI),,2023,2005,NO,0.83,Año citado (2023) no coincide con el registrado (2005)
"Kinter, K.J., and Newton, B.W. (2023). StatPearls, StatPearls Publishing.",NO VERIFICABLE,,,,,2023,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Marshall, Oliver. The English-Language Press in Latin America. London: Institute of Latin American Studies, 1996.",NO VERIFICABLE,,,,,1996,,,0.64,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"P. Fusiripong, F. Baharom, Y. Yusof. ""An Analysis of Comparison on Weighted AHP for Improving Supplier Selection in ITO."" (2018): 388-392.",NO VERIFICABLE,,,,,2018,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Criscuolo, C., & Timmis, J. (2018). GVC centrality and productivity: Are hubs key to firm performance? OECD Productivity Working Papers, (14).",NO VERIFICABLE,,,,,2018,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Staliunas D. Polsha ili Rus? Litva v sostave Rossiiskoi imperii [Poland or Rus? Lithuania as Part of the Russian Empire]. Moscow, Novoe literaturnoe obozrenie Publ., 2022. 372 p.",NO VERIFICABLE,,,,,2022,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Barone, R. (2010). Comparative Anatomy of Domestic Mammals, Edagricole. [3rd ed.].",NO VERIFICABLE,,,,,2010,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Sevgi, S., &Yılmaz, M. (2022). Hasankeyf Artuklu hamamı koruma ve kurtarma (taşıma) uygulama çalışmaları, Türk Arkeoloji ve Etnografya Dergisi (84), 39-61.",NO VERIFICABLE,,,,,2022,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Chandra, G., and S. K. Dwivedi. 2020. “Query expansion based on term selection for Hindi–English cross lingual IR.” J. King Saud Univ.–Comput. Inf. Sci. 32 (3): 310–319. https://doi.org/10.1016/j.jksuci.2017.09.002.",VERIFICADA,Crossref,10.1016/j.jksuci.2017.09.002,Query expansion based on term selection for Hindi – English cross lingual IR,Chandra,2020,2020,NO,1.0,
"Makowski, D. (2020). Neurokit Documentation. NeuroKit. https://neurokit.readthedocs.io/_/downloads/en/latest/pdf/.",NO VERIFICABLE,,,,,2020,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Mitchell, F. (2024, August 12). How to Overcome Inequities and Disparities in the Growing Social Sector Infrastructure. Available online: https://www.urban.org/urban-wire/how-overcome-inequities-and-disparities-growing-social-sector-infrastructure.",NO VERIFICABLE,,,,,2024,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Sela, R. 2000. Photography in Palestine in the 1930s – 1940s. Tel Aviv: Hakibbutz Hameuchad Publishing House. (in Hebrew)",NO VERIFICABLE,,,,,2000,,,0.44,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"International Labour Organisation (1930). Convention C030—Hours of Work (Commerce and Offices) Convention, 1930 (No. 30), International Labour Organisation.",VERIFICADA,Crossref,10.1163/ilwo-iiih2,III.H.2 International Labour Organisation Convention (No. 29) Concerning Forced or Compulsory Labour (28 June 1930),,1930,,NO,0.6,
"Jepsen N, Schreck C, Clements S, Thorstad EB. 2005. A brief discussion on the 2% tag/bodymass rule of thumb. In: Aquatic Telemetry: Advances and Applications. Italy: COISPA Tecnologia and Ricerca. pp. 255–259.",NO VERIFICABLE,,,,,2005,,,0.2,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Mapfre (2021), “How can technology help achieve a circular economy?”, available at:www.mapfre.com/en/insights/sustainability/technology-circular-economy/ (accessed8 January 2023).",NO VERIFICABLE,,,,,2021,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"American Public Works Association (2024, August 12). What is Public Works?. Available online: https://www.apwa.org/resources/about-public-works/.",NO VERIFICABLE,,,,,2024,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
CBS. Open CBS Data: Labour and income; 2023. Available from: https://www.cbs.nl/nl-nl/cijfers/detail/82838NED?q=keyword:uurlonen.,NO VERIFICABLE,,,,,2023,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Mittal, A. (2023, April 23). Understanding RNN and LSTM. What Is Neural Network?. Available online: https://aditi-mittal.medium.com/understanding-rnn-and-lstm-f7cdf6dfc14e.",NO VERIFICABLE,,,,,2023,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"World Atlas of Desertification—Rethinking Land Degradation and Sustainable Land Management (European Commission Publications Office, 2018).",VERIFICADA,Crossref,10.29003/m1664.978-5-317-06490-7,Land Degradation and Desertification: Problems of Sustainable Land Management and Adaptation,,2018,2020,NO,0.75,
"Wang SX (2017) Effect of the Variation of East Asian westerly on the rainfall changes in Yangtze-Huaihe River Valley and North China (in Chinese). Dissertation, Lanzhou University",VERIFICADA,Crossref,10.1175/jcli-d-15-0259.1,Effect of the East Asian Westerly Jet’s Intensity on Summer Rainfall in the Yangtze River Valley and Its Mechanism,Wang,2017,2016,NO,0.73,
"V. Calado, D.C. Montgomery, in Planejamento de experimentos usando Statistica, 1nd edn. (E-Papers Serviços editoriais, 2003), pp. 136.",NO VERIFICABLE,,,,,2003,,,0.43,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Saccà, A. 2016. Confined coastal lagoons: extraordinary habitats at risk. In Coastal lagoons: geology, characteristics and diversity; Nova Science; pp 1–24.",NO VERIFICABLE,,,,,2016,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
